movie,year,imdb,metascore,votes,us_grossMillions,timeMin
Manchester by the Sea,2016,7.8,96,264125,47.7,137
The Pursuit of Happyness,2006,8.0,64,477769,163.57,117
Rain Man,1988,8.0,65,492700,178.8,133
Airplane!,1980,7.7,78,226231,83.4,88
Lost in Translation,2003,7.7,89,435579,44.59,102
Magnolia,1999,8.0,77,301331,22.46,188
Klaus,2019,8.2,65,122315,,96
Remember the Titans,2000,7.8,48,206292,115.65,113
The Graduate,1967,8.0,83,264600,104.95,106
Once Upon a Time in the West,1968,8.5,80,316408,5.32,165
Wonder,2017,8.0,66,154435,132.42,113
Blood Diamond,2006,8.0,64,523042,57.37,143
Capernaum,2018,8.4,75,77694,1.66,126
Amélie,2001,8.3,69,728901,33.23,122
Finding Nemo,2003,8.1,90,990429,380.84,100
The Boy in the Striped Pajamas,2008,7.8,55,204124,9.03,94
Warrior,2011,8.1,71,452530,13.66,140
500 Days of Summer,2009,7.7,76,491303,32.39,95
WALL·E,2008,8.4,95,1050512,223.81,98
As Good as It Gets,1997,7.7,67,288979,148.48,139
Big Fish,2003,8.0,58,429158,66.26,125
3 Idiots,2009,8.4,67,371236,6.53,170
Rear Window,1954,8.5,100,469001,36.76,112
The Blues Brothers,1980,7.9,60,191392,57.23,133
Vertigo,1958,8.3,100,385159,3.2,128
Battle Royale,2000,7.6,81,177493,,114
The Lives of Others,2006,8.4,89,375084,11.29,137
Road to Perdition,2002,7.7,72,258567,104.45,117
Primal Fear,1996,7.7,47,202128,56.12,129
12 Monkeys,1995,8.0,74,598693,57.14,129
Crash,2004,7.7,66,428525,54.58,112
Demon Slayer: Mugen Train,2020,8.3,75,39847,47.7,117
Hidden Figures,2016,7.8,74,214105,169.61,127
Chinatown,1974,8.2,92,311617,8.49,130
Before Sunrise,1995,8.1,77,289354,5.54,101
Rosemary's Baby,1968,8.0,96,205785,,137
Mr. Nobody,2009,7.8,63,225567,0.0,141
The Butterfly Effect,2004,7.6,30,469544,57.94,113
A Christmas Story,1983,7.9,77,137505,20.61,93
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,97,470359,0.28,95
Goldfinger,1964,7.7,87,182909,51.08,110
Groundhog Day,1993,8.0,72,598513,70.91,101
Seven Samurai,1954,8.6,98,331245,0.27,207
Lawrence of Arabia,1962,8.3,100,281304,44.82,228
Downfall,2004,8.2,82,343504,5.51,156
Gone Baby Gone,2007,7.6,72,263941,20.3,114
Scent of a Woman,1992,8.0,59,280867,63.9,156
The Invisible Guest,2016,8.1,,162934,,106
Bonnie and Clyde,1967,7.8,86,108765,,111
Despicable Me,2010,7.6,72,520331,251.51,95
Gravity,2013,7.7,96,796108,274.09,91
Just Mercy,2019,7.6,68,58154,,137
I Saw the Devil,2010,7.8,67,121462,0.13,144
Back to the Future Part II,1989,7.8,57,505064,118.5,108
Gran Torino,2008,8.1,72,746475,148.1,116
Big Hero 6,2014,7.8,74,433061,222.53,102
The Bourne Supremacy,2004,7.7,73,448607,176.24,108
Cowboy Bebop: The Movie,2001,7.9,61,45767,1.0,115
Inside Man,2006,7.6,76,356121,88.51,129
